hotel_reference_id,hotel_country,hotel_city,hotel_state_province,hotel_category,hotel_class
-8086547192259181023,THAILAND,HAT YAI,SONGKHLA,Hotel,3.0
4957414607136314110,PHILIPPINES,TAGUIG,MANILA,Hotel,4.0
-6450845121000940741,THAILAND,BANGKOK,,Hotel,4.0
4506399878130481133,PHILIPPINES,BORACAY,,Hotel,5.0
1459919767144637259,PHILIPPINES,BACOLOD,,,
-6959084402830487245,PHILIPPINES,BORACAY ISLAND,AKLAN,,
4290967972125996113,THAILAND,BANGKOK,BANGKOK,Hotel,3.0
-5594858398443628564,THAILAND,BANGKOK,BANGKOK,Hotel,4.0
5896661687142179198,PHILIPPINES,BORONGAN,EASTERN SAMAR,Hotel,1.0
8992266628444359992,THAILAND,CHONBURI,CHON BURI,Hotel,4.0
-1560562919977529326,THAILAND,KHAO YAI,NAKHON RATCHASIMA,Hotel,3.0
2669257620552601724,THAILAND,SUKHOTHAI,,,
-4300185972556614135,PHILIPPINES,ILOILO,ILOILO,Hotel,3.0
3458695175617045278,THAILAND,AYUTTHAYA,AYUTTHAYA,Hotel,5.0
156999071546057937,PHILIPPINES,MANILA,,Hotel,4.0
-3397790749684635097,PHILIPPINES,CEBU,,Hotel,3.0
-8445337687711643687,THAILAND,RAYONG,RAYONG,Hotel,3.0
-934059344148259083,PHILIPPINES,MANILA,,Hotel,4.0
-8082025778703612464,PHILIPPINES,MANILA,,Hotel,4.0
5335154651604584017,THAILAND,KRABI,KRABI,Hotel,5.0
2666364488521678316,PHILIPPINES,ANGELES / CLARK,PAMPANGA,Hotel,3.0
-7031670494567797950,PHILIPPINES,LAPU-LAPU,CEBU,Hotel,3.0
-3377487306128035675,THAILAND,BANGKOK,,Hotel,3.5
738304126916956042,THAILAND,RAYONG,,,
-6424750798874350177,PHILIPPINES,CEBU,CEBU,Hotel,
1458267130006049388,PHILIPPINES,CORON,PALAWAN,,
-3988758169649306306,THAILAND,NAN,NAN,Hotel,3.0
1970142089861283046,THAILAND,CHIANG RAI,CHIANG RAI,,
-9122473393729816911,PHILIPPINES,MABINI,BATANGAS,Hotel,3.0
-3263739204142979593,THAILAND,HAT YAI,SONGKHLA,Hotel,3.0
7544507263338747211,THAILAND,HAT YAI,,Hotel,2.5
5669502740570152293,PHILIPPINES,SORSOGON CITY,,Hotel,3.0
1476732086433905015,THAILAND,PATONG,PHUKET,,
-4378853202610843086,THAILAND,BANGKOK,BANGKOK,Hotel,4.0
-1187800359764204838,THAILAND,CHIANG MAI,,Hotel,3.5
-9082386925568172807,THAILAND,KRABI,,Hotel,3.0
-2559245715217361174,THAILAND,BANGKOK,,Hotel,5.0
8506804463298270827,THAILAND,KRABI,KRABI,,
1097942267887322330,THAILAND,CHIANG MAI,CHIANG MAI,Hotel,3.0
-8075311583760386209,PHILIPPINES,ANGELES / CLARK,PAMPANGA,,
-271467464001786103,PHILIPPINES,BORACAY,,,
-4679017156744163841,THAILAND,PATONG,,Hotel,4.0
4623477611061706473,THAILAND,UBON RATCHATHANI,UBON RATCHATHANI,Hotel,2.0
2029911304276251061,THAILAND,HAT YAI,SONGKHLA,,
7602860235504621161,PHILIPPINES,PASIG,MANILA,Hotel,3.0
-3821408138713206999,THAILAND,PHUKET,,Hotel,4.0
304380730876120121,THAILAND,BANGKOK,BANGKOK,Hotel,5.0
-7663017799859616898,PHILIPPINES,CEBU,CEBU,Hotel,2.5
5637730015421199924,THAILAND,KARON,PHUKET,Hotel,3.5
-3734451404549283377,THAILAND,HAT YAI,,Hotel,3.0
4162181623228765946,PHILIPPINES,MANILA,,Hotel,5.0
-4015376965488273523,PHILIPPINES,ZAMBOANGA,ZAMBOANGA,,
7062619426944450135,THAILAND,PRANBURI,,Hotel,2.5
-8484880667107508261,THAILAND,KHANOM,NAKHON SI THAMMARAT,Hotel,2.5
-4944810915289726599,PHILIPPINES,CEBU,,Hotel,3.0
4323880283906025844,THAILAND,PATTAYA,CHONBURI,Hotel,4.0
161759784195325471,PHILIPPINES,ILOILO,,Hotel,3.0
-3955585811322191606,THAILAND,RANONG,,Hotel,4.0
-7616304331801104606,THAILAND,CHA-AM,PHETCHABURI,,
-3015064662474216502,THAILAND,BANGKOK,,Hotel,2.5
-1392900968338652923,THAILAND,PATTAYA,,Hotel,4.0
5046456410325514148,THAILAND,BANGKOK,BANGKOK,Hotel,5.0
8804225200375393114,PHILIPPINES,GENERAL TRIAS,CAVITE,Hotel,4.0
-5453637651491272215,THAILAND,PATTAYA,CHONBURI,Hotel,5.0
9146733408550060176,THAILAND,CHIANG MAI,CHIANG MAI,Hotel,4.0
-3667844656910448203,PHILIPPINES,MANILA,,Hotel,3.0
6107165834904689017,PHILIPPINES,MANILA,,Hotel,3.0
-3573772895947598504,THAILAND,CHIANG MAI,CHIANG MAI,Hotel,3.0
-2223389899726131756,PHILIPPINES,MANILA,,Hotel,3.0
-1052708461779669046,THAILAND,BANGKOK,,Hotel,4.5
-7462064336898047209,THAILAND,NAKHON SAWAN,NAKHON SAWAN,Hotel,4.5
8022999686963218549,THAILAND,BANGKOK,,Hotel,5.0
-8354070970921143408,THAILAND,PATTAYA,CHONBURI,,
-5344894033585141208,THAILAND,BANGKOK SUVARNABHUMI AIRPORT,,Hotel,5.0
